,Cloudy,Humid,ID,Lat,Lon,Max Temp,Name,Temp,Wind
346,90,94,1263997,12.63,80.17,80.6,Mamallapuram,80.28,6.93
347,90,62,2077895,-23.7,133.88,55.4,Alice Springs,55.4,10.29
348,20,71,5960603,49.72,-86.95,51.8,Geraldton,51.8,3.36
349,42,81,3449121,-29.45,-50.58,60.01,Sao Francisco de Paula,54.68,1.99
350,99,86,587876,57.91,26.05,39.99,Soe,39.58,8.05
351,75,93,3197710,42.96,17.14,64.4,Korcula,64.4,13.87
352,75,76,6149996,54.78,-127.17,51.8,Smithers,51.8,4.7
353,15,62,161154,-2.64,31.31,67.18,Biharamulo,67.18,1.43
354,90,100,2634686,50.88,-1.03,63.0,Waterlooville,61.34,13.87
355,12,44,2037334,47.79,124.46,57.1,Fuyu,57.1,8.28
356,75,94,3662762,-8.75,-63.87,77.0,Porto Velho,77.0,1.12
357,8,79,3389822,-0.61,-47.36,80.68,Salinopolis,80.68,15.88
358,87,38,1786759,31.71,112.27,73.84,Yicheng,73.84,3.65
359,6,15,2446267,14.51,6.76,91.12,Dakoro,91.12,10.11
360,1,68,5265702,43.88,-91.23,66.0,Onalaska,60.42,4.21
361,0,80,989747,-25.38,28.26,55.0,Temba,55.0,4.0
362,75,50,6167254,53.37,-112.67,55.99,Tofield,53.69,6.93
363,0,54,2016477,52.63,126.75,43.6,Sivaki,43.6,13.53
364,100,93,2644210,53.41,-2.98,62.01,Liverpool,59.72,4.7
365,68,100,602913,64.75,20.95,28.99,Skelleftea,28.69,4.7
366,40,88,3668605,11.24,-74.21,78.8,Santa Marta,78.8,9.17
367,98,97,5952330,46.7,-75.45,55.66,Ferme-Neuve,55.66,6.78
368,0,23,2444219,13.98,10.27,86.0,Goure,86.0,1.99
